date,factom,nxt,bitcoin,isPartial
2015-08-11 00:00:00,0,46,82,False
2015-08-11 01:00:00,0,35,73,False
2015-08-11 02:00:00,0,49,80,False
2015-08-11 03:00:00,0,33,74,False
2015-08-11 04:00:00,0,31,76,False
2015-08-11 05:00:00,0,27,72,False
2015-08-11 06:00:00,0,23,63,False
2015-08-11 07:00:00,0,20,62,False
2015-08-11 08:00:00,0,23,63,False
2015-08-11 09:00:00,0,20,60,False
2015-08-11 10:00:00,0,18,58,False
2015-08-11 11:00:00,0,21,61,False
2015-08-11 12:00:00,0,21,61,False
2015-08-11 13:00:00,0,22,61,False
2015-08-11 14:00:00,0,21,65,False
2015-08-11 15:00:00,0,24,68,False
2015-08-11 16:00:00,0,24,65,False
2015-08-11 17:00:00,0,25,68,False
2015-08-11 18:00:00,0,24,74,False
2015-08-11 19:00:00,0,28,74,False
2015-08-11 20:00:00,0,24,76,False
2015-08-11 21:00:00,0,27,100,False
2015-08-11 22:00:00,0,28,82,False
2015-08-11 23:00:00,0,30,76,False
2015-08-12 00:00:00,0,40,85,False
2015-08-12 01:00:00,0,31,72,False
2015-08-12 02:00:00,0,30,73,False
2015-08-12 03:00:00,0,32,74,False
2015-08-12 04:00:00,0,34,73,False
2015-08-12 05:00:00,0,35,66,False
2015-08-12 06:00:00,0,25,65,False
2015-08-12 07:00:00,0,21,63,False
2015-08-12 08:00:00,0,19,64,False
2015-08-12 09:00:00,0,23,58,False
2015-08-12 10:00:00,0,21,65,False
2015-08-12 11:00:00,0,18,67,False
2015-08-12 12:00:00,0,21,65,False
2015-08-12 13:00:00,0,23,62,False
2015-08-12 14:00:00,0,22,67,False
2015-08-12 15:00:00,0,26,70,False
2015-08-12 16:00:00,0,26,71,False
2015-08-12 17:00:00,0,28,72,False
2015-08-12 18:00:00,0,28,73,False
2015-08-12 19:00:00,0,25,69,False
2015-08-12 20:00:00,0,30,69,False
2015-08-12 21:00:00,0,30,98,False
2015-08-12 22:00:00,0,34,81,False
2015-08-12 23:00:00,0,39,76,False
2015-08-13 00:00:00,0,58,89,False
2015-08-13 01:00:00,0,58,69,False
2015-08-13 02:00:00,0,49,71,False
2015-08-13 03:00:00,0,54,72,False
2015-08-13 04:00:00,0,44,74,False
2015-08-13 05:00:00,0,41,75,False
2015-08-13 06:00:00,0,37,77,False
2015-08-13 07:00:00,0,31,76,False
2015-08-13 08:00:00,0,31,75,False
2015-08-13 09:00:00,0,31,73,False
2015-08-13 10:00:00,0,32,69,False
2015-08-13 11:00:00,0,32,70,False
2015-08-13 12:00:00,0,30,65,False
2015-08-13 13:00:00,0,29,67,False
2015-08-13 14:00:00,0,31,63,False
2015-08-13 15:00:00,0,36,68,False
2015-08-13 16:00:00,0,32,74,False
2015-08-13 17:00:00,0,32,74,False
2015-08-13 18:00:00,0,32,82,False
2015-08-13 19:00:00,0,33,73,False
2015-08-13 20:00:00,0,32,79,False
2015-08-13 21:00:00,0,32,90,False
2015-08-13 22:00:00,0,34,79,False
2015-08-13 23:00:00,0,38,73,False
2015-08-14 00:00:00,0,43,72,False
2015-08-14 00:00:00,0,44,74,False
2015-08-14 01:00:00,0,52,80,False
2015-08-14 02:00:00,0,49,74,False
2015-08-14 03:00:00,0,45,75,False
2015-08-14 04:00:00,0,44,72,False
2015-08-14 05:00:00,0,40,66,False
2015-08-14 06:00:00,0,30,68,False
2015-08-14 07:00:00,0,28,65,False
2015-08-14 08:00:00,0,27,62,False
2015-08-14 09:00:00,0,27,61,False
2015-08-14 10:00:00,0,29,63,False
2015-08-14 11:00:00,0,28,65,False
2015-08-14 12:00:00,0,30,65,False
2015-08-14 13:00:00,0,30,60,False
2015-08-14 14:00:00,0,30,67,False
2015-08-14 15:00:00,0,29,66,False
2015-08-14 16:00:00,0,32,68,False
2015-08-14 17:00:00,0,32,67,False
2015-08-14 18:00:00,0,32,69,False
2015-08-14 19:00:00,0,34,82,False
2015-08-14 20:00:00,0,34,70,False
2015-08-14 21:00:00,0,32,89,False
2015-08-14 22:00:00,0,36,75,False
2015-08-14 23:00:00,0,35,75,False
2015-08-15 00:00:00,0,35,83,False
2015-08-15 01:00:00,0,37,74,False
2015-08-15 02:00:00,0,37,69,False
2015-08-15 03:00:00,0,37,71,False
2015-08-15 04:00:00,0,35,73,False
2015-08-15 05:00:00,0,36,67,False
2015-08-15 06:00:00,0,29,64,False
2015-08-15 07:00:00,0,27,62,False
2015-08-15 08:00:00,0,29,60,False
2015-08-15 09:00:00,0,23,60,False
2015-08-15 10:00:00,0,29,56,False
2015-08-15 11:00:00,0,25,60,False
2015-08-15 12:00:00,0,26,57,False
2015-08-15 13:00:00,0,26,58,False
2015-08-15 14:00:00,0,32,64,False
2015-08-15 15:00:00,0,33,64,False
2015-08-15 16:00:00,0,31,65,False
2015-08-15 17:00:00,0,32,69,False
2015-08-15 18:00:00,0,32,67,False
2015-08-15 19:00:00,0,29,71,False
2015-08-15 20:00:00,0,30,81,False
2015-08-15 21:00:00,0,30,96,False
2015-08-15 22:00:00,0,33,100,False
2015-08-15 23:00:00,0,30,83,False
2015-08-16 00:00:00,0,36,86,False
2015-08-16 01:00:00,0,38,84,False
2015-08-16 02:00:00,0,37,74,False
2015-08-16 03:00:00,0,38,76,False
2015-08-16 04:00:00,0,36,72,False
2015-08-16 05:00:00,0,33,70,False
2015-08-16 06:00:00,0,31,67,False
2015-08-16 07:00:00,0,26,68,False
2015-08-16 08:00:00,0,28,69,False
2015-08-16 09:00:00,0,23,68,False
2015-08-16 10:00:00,0,28,71,False
2015-08-16 11:00:00,0,26,63,False
2015-08-16 12:00:00,0,26,61,False
2015-08-16 13:00:00,0,29,71,False
2015-08-16 14:00:00,0,31,66,False
2015-08-16 15:00:00,0,28,68,False
2015-08-16 16:00:00,0,29,71,False
2015-08-16 17:00:00,0,29,70,False
2015-08-16 18:00:00,0,30,74,False
2015-08-16 19:00:00,0,32,75,False
2015-08-16 20:00:00,0,31,83,False
2015-08-16 21:00:00,0,33,97,False
2015-08-16 22:00:00,0,37,92,False
2015-08-16 23:00:00,0,34,81,False
2015-08-17 00:00:00,0,38,95,False
2015-08-17 00:00:00,0,25,62,False
2015-08-17 01:00:00,0,24,51,False
2015-08-17 02:00:00,0,27,51,False
2015-08-17 03:00:00,0,23,51,False
2015-08-17 04:00:00,0,21,49,False
2015-08-17 05:00:00,0,21,45,False
2015-08-17 06:00:00,0,19,45,False
2015-08-17 07:00:00,0,16,42,False
2015-08-17 08:00:00,0,15,42,False
2015-08-17 09:00:00,0,15,45,False
2015-08-17 10:00:00,0,15,46,False
2015-08-17 11:00:00,0,13,41,False
2015-08-17 12:00:00,0,14,44,False
2015-08-17 13:00:00,0,16,42,False
2015-08-17 14:00:00,0,18,44,False
2015-08-17 15:00:00,0,17,44,False
2015-08-17 16:00:00,0,18,46,False
2015-08-17 17:00:00,0,18,46,False
2015-08-17 18:00:00,0,18,49,False
2015-08-17 19:00:00,0,17,48,False
2015-08-17 20:00:00,0,18,51,False
2015-08-17 21:00:00,0,20,54,False
2015-08-17 22:00:00,0,19,65,False
2015-08-17 23:00:00,0,19,53,False
2015-08-18 00:00:00,0,32,50,False
2015-08-18 01:00:00,0,32,56,False
2015-08-18 02:00:00,0,51,51,False
2015-08-18 03:00:00,0,32,49,False
2015-08-18 04:00:00,0,25,48,False
2015-08-18 05:00:00,0,22,46,False
2015-08-18 06:00:00,0,18,45,False
2015-08-18 07:00:00,0,16,44,False
2015-08-18 08:00:00,0,14,41,False
2015-08-18 09:00:00,0,14,43,False
2015-08-18 10:00:00,0,15,43,False
2015-08-18 11:00:00,0,15,45,False
2015-08-18 12:00:00,0,15,43,False
2015-08-18 13:00:00,0,15,50,False
2015-08-18 14:00:00,0,17,55,False
2015-08-18 15:00:00,0,18,55,False
2015-08-18 16:00:00,0,18,58,False
2015-08-18 17:00:00,0,19,54,False
2015-08-18 18:00:00,0,17,56,False
2015-08-18 19:00:00,0,18,59,False
2015-08-18 20:00:00,0,25,63,False
2015-08-18 21:00:00,0,27,82,False
2015-08-18 22:00:00,0,26,71,False
2015-08-18 23:00:00,0,24,93,False
2015-08-19 00:00:00,0,31,100,False
2015-08-19 01:00:00,0,32,83,False
2015-08-19 02:00:00,0,28,77,False
2015-08-19 03:00:00,0,27,79,False
2015-08-19 04:00:00,0,26,72,False
2015-08-19 05:00:00,0,23,72,False
2015-08-19 06:00:00,0,19,62,False
2015-08-19 07:00:00,0,18,62,False
2015-08-19 08:00:00,0,15,61,False
