date,FCT,NXT,BTN,isPartial
2015-08-16 11:00:00,6,40,37,False
2015-08-16 12:00:00,6,41,35,False
2015-08-16 13:00:00,7,45,33,False
2015-08-16 14:00:00,6,48,29,False
2015-08-16 15:00:00,5,44,30,False
2015-08-16 16:00:00,5,45,27,False
2015-08-16 17:00:00,6,45,22,False
2015-08-16 18:00:00,6,46,16,False
2015-08-16 19:00:00,5,50,17,False
2015-08-16 20:00:00,7,48,21,False
2015-08-16 21:00:00,7,51,35,False
2015-08-16 22:00:00,6,57,28,False
2015-08-16 23:00:00,8,53,63,False
2015-08-17 00:00:00,5,60,68,False
2015-08-17 00:00:00,4,47,53,False
2015-08-17 01:00:00,4,45,36,False
2015-08-17 02:00:00,4,50,48,False
2015-08-17 03:00:00,3,43,48,False
2015-08-17 04:00:00,5,39,56,False
2015-08-17 05:00:00,5,39,44,False
2015-08-17 06:00:00,7,36,41,False
2015-08-17 07:00:00,7,30,35,False
2015-08-17 08:00:00,8,27,34,False
2015-08-17 09:00:00,9,27,35,False
2015-08-17 10:00:00,9,29,31,False
2015-08-17 11:00:00,8,24,37,False
2015-08-17 12:00:00,7,27,29,False
2015-08-17 13:00:00,9,30,24,False
2015-08-17 14:00:00,8,34,24,False
2015-08-17 15:00:00,8,32,21,False
2015-08-17 16:00:00,7,34,20,False
2015-08-17 17:00:00,7,34,36,False
2015-08-17 18:00:00,8,34,23,False
2015-08-17 19:00:00,5,32,19,False
2015-08-17 20:00:00,6,33,19,False
2015-08-17 21:00:00,6,37,20,False
2015-08-17 22:00:00,6,36,26,False
2015-08-17 23:00:00,5,36,54,False
2015-08-18 00:00:00,5,60,65,False
2015-08-18 01:00:00,4,59,57,False
2015-08-18 02:00:00,6,96,78,False
2015-08-18 03:00:00,5,59,75,False
2015-08-18 04:00:00,3,47,100,False
2015-08-18 05:00:00,5,41,64,False
2015-08-18 06:00:00,7,33,63,False
2015-08-18 07:00:00,7,31,58,False
2015-08-18 08:00:00,9,26,44,False
2015-08-18 09:00:00,9,27,43,False
2015-08-18 10:00:00,9,28,41,False
2015-08-18 11:00:00,8,28,38,False
2015-08-18 12:00:00,8,27,32,False
2015-08-18 13:00:00,10,27,28,False
2015-08-18 14:00:00,11,31,27,False
2015-08-18 15:00:00,8,34,24,False
2015-08-18 16:00:00,7,34,20,False
2015-08-18 17:00:00,8,36,34,False
2015-08-18 18:00:00,6,32,22,False
2015-08-18 19:00:00,7,34,20,False
2015-08-18 20:00:00,6,47,20,False
2015-08-18 21:00:00,6,50,22,False
2015-08-18 22:00:00,6,49,30,False
2015-08-18 23:00:00,6,45,57,False
2015-08-19 00:00:00,5,57,59,False
2015-08-19 01:00:00,4,60,57,False
2015-08-19 02:00:00,4,53,76,False
2015-08-19 03:00:00,4,51,69,False
2015-08-19 04:00:00,4,49,90,False
2015-08-19 05:00:00,5,43,60,False
2015-08-19 06:00:00,6,36,51,False
2015-08-19 07:00:00,7,34,48,False
2015-08-19 08:00:00,7,28,43,False
2015-08-19 09:00:00,10,29,47,False
2015-08-19 10:00:00,9,32,40,False
2015-08-19 11:00:00,8,31,39,False
2015-08-19 12:00:00,8,32,32,False
2015-08-19 13:00:00,8,30,28,False
2015-08-19 14:00:00,8,35,27,False
2015-08-19 15:00:00,8,38,22,False
2015-08-19 16:00:00,8,37,26,False
2015-08-19 17:00:00,7,40,46,False
2015-08-19 18:00:00,7,38,24,False
2015-08-19 19:00:00,7,42,22,False
2015-08-19 20:00:00,7,39,29,False
2015-08-19 21:00:00,6,46,25,False
2015-08-19 22:00:00,7,49,41,False
2015-08-19 23:00:00,4,54,76,False
2015-08-20 00:00:00,3,91,68,False
